Split,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,Year,Player
vs. OAK,6.00,1,0,0,0,1,1,0,6.0,11,4,4,2,1,6,.379,2012,Madison Bumgarner
vs. PHI,3.00,1,0,0,0,1,1,0,6.0,7,2,2,1,1,2,.304,2012,Madison Bumgarner
Batting #6,84,9,23,3,1,2,8,6,1,21,0,0,.274,.330,.405,.734,2012,Madison Bumgarner
Situation,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2012,Madison Bumgarner
None On,483,13,114,20,4,13,13,29,4,127,0,0,.236,.285,.375,.660,2012,Madison Bumgarner
Runners On,299,74,69,16,3,10,66,20,3,64,27,10,.231,.282,.405,.687,2012,Madison Bumgarner
Scoring Position,163,52,32,7,2,3,45,18,2,41,7,2,.196,.278,.319,.597,2012,Madison Bumgarner
All Splits,3.21,13,13,0,0,33,33,0,204.2,202,82,73,12,46,191,.260,2011,Madison Bumgarner
Home,3.12,8,6,0,0,17,17,0,104.0,98,39,36,4,24,109,.256,2011,Madison Bumgarner
Away,3.31,5,7,0,0,16,16,0,100.2,104,43,37,8,22,82,.264,2011,Madison Bumgarner
Day,2.61,5,3,0,0,9,9,0,58.2,51,18,17,3,15,61,.239,2011,Madison Bumgarner
Night,3.45,8,10,0,0,24,24,0,146.0,151,64,56,9,31,130,.268,2011,Madison Bumgarner
April,6.17,0,4,0,0,5,5,0,23.1,30,17,16,2,11,16,.323,2011,Madison Bumgarner
May,2.21,2,2,0,0,6,6,0,40.2,34,13,10,0,11,30,.225,2011,Madison Bumgarner
June,4.28,2,3,0,0,5,5,0,27.1,35,14,13,2,3,31,.318,2011,Madison Bumgarner
July,3.69,2,1,0,0,6,6,0,39.0,40,18,16,1,5,38,.267,2011,Madison Bumgarner
August,2.30,3,2,0,0,6,6,0,43.0,36,12,11,5,11,42,.234,2011,Madison Bumgarner
September,2.01,4,1,0,0,5,5,0,31.1,27,8,7,2,5,34,.227,2011,Madison Bumgarner
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2011,Madison Bumgarner
vs. ARI,4.26,1,0,0,0,2,2,0,12.2,13,6,6,3,2,8,.265,2011,Madison Bumgarner
vs. ATL,4.66,0,1,0,0,2,2,0,9.2,12,6,5,1,4,7,.293,2011,Madison Bumgarner
vs. CHC,1.93,1,1,0,0,2,2,0,14.0,7,3,3,0,4,17,.149,2011,Madison Bumgarner
vs. CIN,4.91,0,2,0,0,2,2,0,11.0,15,8,6,0,3,11,.326,2011,Madison Bumgarner
vs. CLE,1.29,1,0,0,0,1,1,0,7.0,6,1,1,0,1,11,.231,2011,Madison Bumgarner
vs. COL,0.67,2,1,0,0,4,4,0,27.0,20,5,2,0,4,23,.211,2011,Madison Bumgarner
vs. HOU,4.85,1,1,0,0,2,2,0,13.0,16,8,7,2,4,7,.333,2011,Madison Bumgarner
vs. LAD,4.11,3,2,0,0,5,5,0,30.2,30,14,14,2,9,22,.261,2011,Madison Bumgarner
vs. MIA,4.50,0,0,0,0,1,1,0,6.0,8,3,3,0,2,4,.320,2011,Madison Bumgarner
vs. MIL,1.17,1,0,0,0,1,1,0,7.2,8,1,1,1,0,8,.286,2011,Madison Bumgarner
vs. MIN,216.00,0,1,0,0,1,1,0,0.1,9,8,8,0,0,1,.900,2011,Madison Bumgarner
Batting #5,89,10,29,4,2,1,10,3,2,17,0,0,.326,.362,.449,.811,2011,Madison Bumgarner
Batting #9,71,0,6,1,0,0,0,2,1,32,0,0,.085,.122,.099,.220,2011,Madison Bumgarner
Situation,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2011,Madison Bumgarner
None On,469,10,117,23,2,10,10,26,3,111,0,0,.249,.293,.371,.664,2011,Madison Bumgarner
Runners On,308,72,85,17,1,2,67,20,2,80,12,11,.276,.320,.357,.678,2011,Madison Bumgarner
As Starter,777,82,202,40,3,12,77,46,5,191,12,11,.260,.304,.366,.670,2011,Madison Bumgarner
All Splits,3.00,7,6,0,0,18,18,0,111.0,119,40,37,11,26,86,.272,2010,Madison Bumgarner
Home,4.60,1,3,0,0,8,8,0,45.0,56,24,23,5,13,32,.303,2010,Madison Bumgarner
Away,1.91,6,3,0,0,10,10,0,66.0,63,16,14,6,13,54,.250,2010,Madison Bumgarner
Day,3.98,2,4,0,0,9,9,0,52.0,57,24,23,7,9,42,.278,2010,Madison Bumgarner
Night,2.14,5,2,0,0,9,9,0,59.0,62,16,14,4,17,44,.267,2010,Madison Bumgarner
June,5.14,0,1,0,0,1,1,0,7.0,5,4,4,2,1,5,.200,2010,Madison Bumgarner
July,2.27,4,2,0,0,6,6,0,39.2,36,12,10,3,11,31,.243,2010,Madison Bumgarner
August,5.29,1,1,0,0,6,6,0,32.1,47,20,19,5,10,18,.341,2010,Madison Bumgarner
September,1.13,2,2,0,0,5,5,0,32.0,31,4,4,1,4,32,.246,2010,Madison Bumgarner
Last 7 Days,---,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,.000,2010,Madison Bumgarner
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2010,Madison Bumgarner
vs. BOS,5.14,0,1,0,0,1,1,0,7.0,5,4,4,2,1,5,.200,2010,Madison Bumgarner
vs. CHC,2.13,1,0,0,0,2,2,0,12.2,16,3,3,0,3,12,.302,2010,Madison Bumgarner
vs. CIN,23.63,0,0,0,0,1,1,0,2.2,7,8,7,3,1,3,.467,2010,Madison Bumgarner
vs. COL,4.24,0,2,0,0,3,3,0,17.0,23,9,8,2,5,10,.333,2010,Madison Bumgarner
vs. LAD,1.59,1,0,0,0,1,1,0,5.2,6,2,1,1,2,3,.286,2010,Madison Bumgarner
vs. MIA,4.50,0,1,0,0,1,1,0,6.0,6,3,3,0,2,5,.273,2010,Madison Bumgarner
vs. MIL,1.32,1,1,0,0,2,2,0,13.2,12,2,2,0,4,10,.218,2010,Madison Bumgarner
vs. STL,2.57,1,0,0,0,1,1,0,7.0,9,2,2,1,1,5,.310,2010,Madison Bumgarner
vs. WSH,1.50,1,0,0,0,1,1,0,6.0,7,1,1,0,0,6,.292,2010,Madison Bumgarner
Stadium,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2010,Madison Bumgarner
AT&T Park,4.60,1,3,0,0,8,8,0,45.0,56,24,23,5,13,32,.303,2010,Madison Bumgarner
Busch Stadium II,2.57,1,0,0,0,1,1,0,7.0,9,2,2,1,1,5,.310,2010,Madison Bumgarner
All Splits,1.80,0,0,0,0,4,1,0,10.0,8,2,2,2,3,10,.229,2009,Madison Bumgarner
Home,3.38,0,0,0,0,1,1,0,5.1,5,2,2,2,1,4,.250,2009,Madison Bumgarner
Away,0.00,0,0,0,0,3,0,0,4.2,3,0,0,0,2,6,.200,2009,Madison Bumgarner
Day,0.00,0,0,0,0,1,0,0,1.0,0,0,0,0,0,2,.000,2009,Madison Bumgarner
Night,2.00,0,0,0,0,3,1,0,9.0,8,2,2,2,3,8,.250,2009,Madison Bumgarner
September,2.25,0,0,0,0,3,1,0,8.0,7,2,2,2,1,9,.241,2009,Madison Bumgarner
October,0.00,0,0,0,0,1,0,0,2.0,1,0,0,0,2,1,.167,2009,Madison Bumgarner
Last 7 Days,0.00,0,0,0,0,1,0,0,2.0,1,0,0,0,2,1,.167,2009,Madison Bumgarner
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2009,Madison Bumgarner
vs. ARI,0.00,0,0,0,0,1,0,0,1.2,2,0,0,0,0,3,.333,2009,Madison Bumgarner
vs. LAD,0.00,0,0,0,0,1,0,0,1.0,0,0,0,0,0,2,.000,2009,Madison Bumgarner
Stadium,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2009,Madison Bumgarner
AT&T Park,3.38,0,0,0,0,1,1,0,5.1,5,2,2,2,1,4,.250,2009,Madison Bumgarner
Chase Field,0.00,0,0,0,0,1,0,0,1.2,2,0,0,0,0,3,.333,2009,Madison Bumgarner
Dodger Stadium,0.00,0,0,0,0,1,0,0,1.0,0,0,0,0,0,2,.000,2009,Madison Bumgarner
PETCO Park,0.00,0,0,0,0,1,0,0,2.0,1,0,0,0,2,1,.167,2009,Madison Bumgarner
Count,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2009,Madison Bumgarner
Count 0-0,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2009,Madison Bumgarner
Count 0-2,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2009,Madison Bumgarner
Count 1-0,5,0,2,0,0,2,2,0,0,0,0,0,.400,.400,1.600,2.000,2009,Madison Bumgarner
Count 1-1,4,0,2,0,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,2009,Madison Bumgarner
Count 1-2,7,0,0,0,0,0,0,0,0,6,0,0,.000,.000,.000,.000,2009,Madison Bumgarner
Count 2-2,7,0,2,0,0,0,0,0,0,2,0,0,.286,.286,.286,.571,2009,Madison Bumgarner
All Splits,4.36,3,0,0,0,12,5,0,43.1,35,23,21,8,21,40,.217,2020,Taylor Clarke
Home,4.68,2,0,0,0,6,4,0,25.0,19,15,13,5,11,27,.204,2020,Taylor Clarke
Away,3.93,1,0,0,0,6,1,0,18.1,16,8,8,3,10,13,.235,2020,Taylor Clarke
Day,1.46,1,0,0,0,4,1,0,12.1,5,3,2,2,6,15,.119,2020,Taylor Clarke
Night,5.52,2,0,0,0,8,4,0,31.0,30,20,19,6,15,25,.252,2020,Taylor Clarke
July,0.00,0,0,0,0,1,0,0,3.2,0,0,0,0,2,3,.000,2020,Taylor Clarke
August,2.61,1,0,0,0,7,2,0,20.2,11,8,6,4,10,22,.151,2020,Taylor Clarke
September,7.11,2,0,0,0,4,3,0,19.0,24,15,15,4,9,15,.304,2020,Taylor Clarke
Last 7 Days,7.20,1,0,0,0,1,1,0,5.0,6,4,4,0,3,5,.300,2020,Taylor Clarke
Last 15 Days,7.20,2,0,0,0,2,1,0,10.0,12,8,8,2,4,8,.300,2020,Taylor Clarke
Last 30 Days,6.00,2,0,0,0,5,4,0,24.0,25,16,16,5,10,22,.260,2020,Taylor Clarke
vs. COL,5.06,1,0,0,0,3,2,0,10.2,14,7,6,2,6,10,.326,2020,Taylor Clarke
vs. LAA,7.20,1,0,0,0,1,0,0,5.0,6,4,4,2,1,3,.300,2020,Taylor Clarke
vs. LAD,7.00,0,0,0,0,2,1,0,9.0,8,7,7,3,3,7,.229,2020,Taylor Clarke
vs. OAK,0.00,0,0,0,0,1,0,0,2.0,0,0,0,0,3,1,.000,2020,Taylor Clarke
vs. SD,0.00,1,0,0,0,3,0,0,8.2,0,1,0,0,4,10,.000,2020,Taylor Clarke
vs. SF,4.50,0,0,0,0,2,2,0,8.0,7,4,4,1,4,9,.219,2020,Taylor Clarke
Stadium,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2020,Taylor Clarke
AT&T Park,9.00,0,0,0,0,1,1,0,3.0,6,3,3,0,3,2,.400,2020,Taylor Clarke
Chase Field,4.68,2,0,0,0,6,4,0,25.0,19,15,13,5,11,27,.204,2020,Taylor Clarke
Coors Field,5.40,0,0,0,0,1,0,0,1.2,4,1,1,1,1,1,.444,2020,Taylor Clarke
Overstock.com Coliseum,0.00,0,0,0,0,1,0,0,2.0,0,0,0,0,3,1,.000,2020,Taylor Clarke
PETCO Park,0.00,0,0,0,0,2,0,0,6.2,0,0,0,0,2,6,.000,2020,Taylor Clarke
All Splits,5.31,5,5,1,1,23,15,0,84.2,86,55,50,23,30,68,.263,2019,Taylor Clarke
Home,6.10,2,4,0,0,12,8,0,41.1,43,31,28,13,15,32,.265,2019,Taylor Clarke
Away,4.57,3,1,1,1,11,7,0,43.1,43,24,22,10,15,36,.261,2019,Taylor Clarke
Day,4.67,3,1,1,1,8,6,0,34.2,30,19,18,9,9,29,.233,2019,Taylor Clarke
Night,5.76,2,4,0,0,15,9,0,50.0,56,36,32,14,21,39,.283,2019,Taylor Clarke
April,0.00,0,0,1,1,1,0,0,3.0,1,0,0,0,0,2,.100,2019,Taylor Clarke
May,5.65,1,1,0,0,3,3,0,14.1,16,10,9,2,5,9,.291,2019,Taylor Clarke
June,7.29,1,2,0,0,5,5,0,21.0,27,18,17,7,9,20,.310,2019,Taylor Clarke
July,4.34,2,0,0,0,4,4,0,18.2,19,10,9,4,7,14,.264,2019,Taylor Clarke
August,5.25,0,1,0,0,4,2,0,12.0,10,9,7,4,2,8,.222,2019,Taylor Clarke
September,4.60,1,1,0,0,6,1,0,15.2,13,8,8,6,7,15,.224,2019,Taylor Clarke
Last 15 Days,4.66,1,0,0,0,4,1,0,9.2,8,5,5,3,5,11,.229,2019,Taylor Clarke
Last 30 Days,4.60,1,1,0,0,6,1,0,15.2,13,8,8,6,7,15,.224,2019,Taylor Clarke
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2019,Taylor Clarke
vs. BAL,3.00,1,0,0,0,1,1,0,6.0,4,2,2,2,0,7,.182,2019,Taylor Clarke
vs. CHC,0.00,0,0,1,1,1,0,0,3.0,1,0,0,0,0,2,.100,2019,Taylor Clarke
vs. COL,22.50,0,0,0,0,1,1,0,2.0,4,5,5,1,2,3,.444,2019,Taylor Clarke
vs. LAD,4.42,1,2,0,0,5,3,0,18.1,15,10,9,4,8,10,.221,2019,Taylor Clarke
vs. MIL,6.35,0,0,0,0,2,1,0,5.2,7,4,4,1,2,3,.318,2019,Taylor Clarke
vs. NYM,4.50,0,0,0,0,1,0,0,4.0,3,2,2,2,2,3,.200,2019,Taylor Clarke
vs. NYY,0.00,1,0,0,0,1,1,0,5.1,3,1,0,0,2,6,.158,2019,Taylor Clarke
vs. PHI,10.80,0,0,0,0,1,1,0,3.1,6,4,4,2,2,4,.400,2019,Taylor Clarke
vs. SD,3.00,1,0,0,0,2,1,0,6.0,4,2,2,1,2,6,.200,2019,Taylor Clarke
Batting #7,31,14,10,1,1,4,14,4,1,5,0,0,.323,.405,.806,1.212,2019,Taylor Clarke
None On,211,17,58,13,3,17,17,19,4,39,0,0,.275,.346,.607,.953,2019,Taylor Clarke
Runners On,116,37,28,4,1,6,35,11,2,29,2,1,.241,.306,.448,.754,2019,Taylor Clarke
Scoring Position,61,33,16,1,1,4,31,7,1,15,0,0,.262,.324,.508,.833,2019,Taylor Clarke
Bases Loaded,5,13,3,0,0,2,12,0,0,0,0,0,.600,.429,1.800,2.229,2019,Taylor Clarke
3rd Time Faced In Game,32,2,8,4,0,1,2,1,1,7,0,0,.250,.294,.469,.763,2019,Taylor Clarke
4th+ Time Faced In Game,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2019,Taylor Clarke
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2019,Taylor Clarke
As Starter,254,47,73,15,4,16,42,24,5,51,2,1,.287,.354,.567,.921,2019,Taylor Clarke
As Reliever,73,8,13,2,0,7,10,6,1,17,0,0,.178,.250,.493,.743,2019,Taylor Clarke
All Splits,2.42,2,2,5,7,26,0,0,26.0,22,7,7,1,9,23,.229,2020,Stefan Crichton
Home,4.50,2,2,2,4,15,0,0,14.0,13,7,7,1,5,13,.250,2020,Stefan Crichton
Away,0.00,0,0,3,3,11,0,0,12.0,9,0,0,0,4,10,.205,2020,Stefan Crichton
Day,5.68,0,1,1,2,8,0,0,6.1,9,4,4,1,2,8,.321,2020,Stefan Crichton
Night,1.37,2,1,4,5,18,0,0,19.2,13,3,3,0,7,15,.191,2020,Stefan Crichton
July,0.00,0,0,0,0,4,0,0,3.0,3,0,0,0,1,4,.250,2020,Stefan Crichton
August,3.95,2,2,0,1,12,0,0,13.2,15,6,6,1,7,14,.288,2020,Stefan Crichton
September,0.96,0,0,5,6,10,0,0,9.1,4,1,1,0,1,5,.125,2020,Stefan Crichton
Last 7 Days,0.00,0,0,1,1,2,0,0,1.1,0,0,0,0,0,0,.000,2020,Stefan Crichton
Last 15 Days,0.00,0,0,4,4,5,0,0,4.1,0,0,0,0,0,1,.000,2020,Stefan Crichton
Last 30 Days,2.79,0,1,5,6,11,0,0,9.2,6,3,3,0,1,6,.171,2020,Stefan Crichton
vs. COL,5.40,0,1,1,1,4,0,0,3.1,4,2,2,0,3,1,.333,2020,Stefan Crichton
vs. HOU,7.71,0,0,1,2,3,0,0,2.1,3,2,2,1,1,3,.300,2020,Stefan Crichton
vs. LAA,0.00,0,0,2,2,2,0,0,2.0,0,0,0,0,0,0,.000,2020,Stefan Crichton
vs. LAD,1.93,0,0,0,1,5,0,0,4.2,3,1,1,0,1,5,.176,2020,Stefan Crichton
vs. OAK,0.00,1,0,0,0,2,0,0,3.0,1,0,0,0,1,2,.111,2020,Stefan Crichton
vs. SD,0.00,1,0,0,0,4,0,0,5.2,4,0,0,0,2,7,.190,2020,Stefan Crichton
vs. SF,6.75,0,1,0,0,3,0,0,2.2,6,2,2,0,1,3,.500,2020,Stefan Crichton
vs. TEX,0.00,0,0,0,0,2,0,0,1.2,1,0,0,0,0,1,.167,2020,Stefan Crichton
Stadium,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2020,Stefan Crichton
Angel Stadium,0.00,0,0,2,2,2,0,0,2.0,0,0,0,0,0,0,.000,2020,Stefan Crichton
AT&T Park,0.00,0,0,0,0,1,0,0,1.0,2,0,0,0,0,0,.500,2020,Stefan Crichton
Chase Field,4.50,2,2,2,4,15,0,0,14.0,13,7,7,1,5,13,.250,2020,Stefan Crichton
3rd Time Faced In Game,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2020,Stefan Crichton
All Splits,3.56,1,0,0,0,28,0,0,30.1,23,12,12,3,8,33,.204,2019,Stefan Crichton
Home,2.14,1,0,0,0,18,0,0,21.0,13,5,5,1,4,19,.173,2019,Stefan Crichton
Away,6.75,0,0,0,0,10,0,0,9.1,10,7,7,2,4,14,.263,2019,Stefan Crichton
Day,4.66,1,0,0,0,9,0,0,9.2,7,5,5,1,4,10,.200,2019,Stefan Crichton
Night,3.05,0,0,0,0,19,0,0,20.2,16,7,7,2,4,23,.205,2019,Stefan Crichton
May,0.00,0,0,0,0,3,0,0,1.2,1,0,0,0,0,2,.167,2019,Stefan Crichton
June,5.40,0,0,0,0,5,0,0,8.1,6,5,5,1,3,9,.200,2019,Stefan Crichton
July,0.00,0,0,0,0,4,0,0,4.2,2,0,0,0,2,3,.125,2019,Stefan Crichton
August,6.75,0,0,0,0,3,0,0,5.1,7,4,4,1,0,4,.318,2019,Stefan Crichton
September,2.61,1,0,0,0,13,0,0,10.1,7,3,3,1,3,15,.179,2019,Stefan Crichton
Last 7 Days,3.00,1,0,0,0,3,0,0,3.0,1,1,1,0,1,5,.091,2019,Stefan Crichton
Last 30 Days,2.61,1,0,0,0,13,0,0,10.1,7,3,3,1,3,15,.179,2019,Stefan Crichton
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2019,Stefan Crichton
vs. BAL,0.00,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,.000,2019,Stefan Crichton
vs. CIN,6.00,0,0,0,0,3,0,0,3.0,1,2,2,1,1,2,.100,2019,Stefan Crichton
vs. COL,0.00,0,0,0,0,2,0,0,0.2,0,0,0,0,0,1,.000,2019,Stefan Crichton
vs. LAD,0.00,0,0,0,0,2,0,0,3.0,2,0,0,0,1,3,.200,2019,Stefan Crichton
vs. MIA,0.00,0,0,0,0,2,0,0,2.1,2,0,0,0,0,2,.222,2019,Stefan Crichton
vs. NYM,0.00,0,0,0,0,4,0,0,3.2,2,0,0,0,0,6,.154,2019,Stefan Crichton
vs. SD,2.45,1,0,0,0,5,0,0,3.2,4,1,1,0,2,6,.267,2019,Stefan Crichton
vs. SF,5.06,0,0,0,0,3,0,0,5.1,6,3,3,0,0,5,.286,2019,Stefan Crichton
vs. STL,0.00,0,0,0,0,1,0,0,1.0,0,0,0,0,0,2,.000,2019,Stefan Crichton
vs. WSH,10.80,0,0,0,0,3,0,0,5.0,5,6,6,2,2,5,.250,2019,Stefan Crichton
Inning Pitches,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2019,Stefan Crichton
4th+ Time Faced In Game,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2019,Stefan Crichton
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2019,Stefan Crichton
As Reliever,113,12,23,3,0,3,15,8,2,33,0,0,.204,.268,.310,.578,2019,Stefan Crichton
All Splits,8.03,0,0,0,0,8,0,0,12.1,26,11,11,2,4,8,.456,2017,Stefan Crichton
Home,7.20,0,0,0,0,3,0,0,5.0,10,4,4,1,1,3,.455,2017,Stefan Crichton
Away,8.59,0,0,0,0,5,0,0,7.1,16,7,7,1,3,5,.457,2017,Stefan Crichton
Day,7.36,0,0,0,0,3,0,0,3.2,11,3,3,0,1,4,.611,2017,Stefan Crichton
Night,8.31,0,0,0,0,5,0,0,8.2,15,8,8,2,3,4,.385,2017,Stefan Crichton
April,9.00,0,0,0,0,2,0,0,3.0,9,3,3,0,0,2,.643,2017,Stefan Crichton
May,5.06,0,0,0,0,3,0,0,5.1,7,3,3,1,1,3,.304,2017,Stefan Crichton
June,11.25,0,0,0,0,3,0,0,4.0,10,5,5,1,3,3,.500,2017,Stefan Crichton
Last 7 Days,---,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,.000,2017,Stefan Crichton
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2017,Stefan Crichton
vs. BOS,6.75,0,0,0,0,1,0,0,1.1,4,1,1,0,0,0,.800,2017,Stefan Crichton
vs. DET,0.00,0,0,0,0,1,0,0,1.2,1,0,0,0,0,0,.167,2017,Stefan Crichton
vs. MIN,5.40,0,0,0,0,1,0,0,3.1,6,2,2,1,0,3,.375,2017,Stefan Crichton
vs. NYY,13.50,0,0,0,0,2,0,0,3.1,8,5,5,1,2,1,.500,2017,Stefan Crichton
vs. TB,0.00,0,0,0,0,1,0,0,0.2,2,0,0,0,1,2,.500,2017,Stefan Crichton
vs. TOR,10.80,0,0,0,0,1,0,0,1.2,5,2,2,0,0,2,.556,2017,Stefan Crichton
Stadium,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2017,Stefan Crichton
Camden Yards,7.20,0,0,0,0,3,0,0,5.0,10,4,4,1,1,3,.455,2017,Stefan Crichton
Rogers Centre,10.80,0,0,0,0,1,0,0,1.2,5,2,2,0,0,2,.556,2017,Stefan Crichton
Tropicana Field,0.00,0,0,0,0,1,0,0,0.2,2,0,0,0,1,2,.500,2017,Stefan Crichton
Yankee Stadium,13.50,0,0,0,0,2,0,0,3.1,8,5,5,1,2,1,.500,2017,Stefan Crichton
Count,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2017,Stefan Crichton
Count 0-0,7,2,5,1,0,0,2,0,0,0,0,0,.714,.714,.857,1.571,2017,Stefan Crichton
All Splits,14.73,0,1,0,1,4,0,0,3.2,7,6,6,1,3,5,.389,2020,Chris Devenski
Home,13.50,0,1,0,1,2,0,0,2.0,4,3,3,0,1,4,.400,2020,Chris Devenski
Away,16.20,0,0,0,0,2,0,0,1.2,3,3,3,1,2,1,.375,2020,Chris Devenski
Day,20.25,0,1,0,1,3,0,0,2.2,6,6,6,1,3,2,.429,2020,Chris Devenski
Night,0.00,0,0,0,0,1,0,0,1.0,1,0,0,0,0,3,.250,2020,Chris Devenski
July,13.50,0,1,0,1,2,0,0,2.0,4,3,3,0,1,4,.400,2020,Chris Devenski
September,16.20,0,0,0,0,2,0,0,1.2,3,3,3,1,2,1,.375,2020,Chris Devenski
Last 30 Days,16.20,0,0,0,0,2,0,0,1.2,3,3,3,1,2,1,.375,2020,Chris Devenski
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2020,Chris Devenski
vs. LAA,16.20,0,0,0,0,2,0,0,1.2,3,3,3,1,2,1,.375,2020,Chris Devenski
vs. SEA,13.50,0,1,0,1,2,0,0,2.0,4,3,3,0,1,4,.400,2020,Chris Devenski
Angel Stadium,16.20,0,0,0,0,2,0,0,1.2,3,3,3,1,2,1,.375,2020,Chris Devenski
Minute Maid Park,13.50,0,1,0,1,2,0,0,2.0,4,3,3,0,1,4,.400,2020,Chris Devenski
Count,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2020,Chris Devenski
Count 0-0,3,2,1,0,0,1,2,0,0,0,0,0,.333,.333,1.333,1.667,2020,Chris Devenski
Count 0-1,2,0,2,1,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,2020,Chris Devenski
Count 0-2,3,0,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,2020,Chris Devenski
Count 1-0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2020,Chris Devenski
Count 1-2,1,2,1,0,0,0,2,0,0,0,1,0,1.000,1.000,1.000,2.000,2020,Chris Devenski
Count 2-0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2020,Chris Devenski
Count 2-1,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,2020,Chris Devenski
Count 2-2,4,2,1,0,0,0,2,0,0,2,0,0,.250,.250,.250,.500,2020,Chris Devenski
Count 3-0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2020,Chris Devenski
All Splits,4.83,2,3,0,1,61,1,0,69.0,69,39,37,13,21,72,.256,2019,Chris Devenski
Home,5.81,1,1,0,1,28,0,0,31.0,33,20,20,8,6,34,.266,2019,Chris Devenski
Away,4.03,1,2,0,0,33,1,0,38.0,36,19,17,5,15,38,.247,2019,Chris Devenski
Day,7.64,1,1,0,1,15,0,0,17.2,20,15,15,3,8,18,.282,2019,Chris Devenski
Night,3.86,1,2,0,0,46,1,0,51.1,49,24,22,10,13,54,.246,2019,Chris Devenski
March,4.50,0,0,0,0,1,0,0,2.0,3,1,1,0,0,3,.375,2019,Chris Devenski
April,3.00,0,0,0,0,10,0,0,9.0,10,3,3,2,3,8,.278,2019,Chris Devenski
May,6.52,0,0,0,0,8,0,0,9.2,11,7,7,2,3,11,.275,2019,Chris Devenski
June,4.30,2,0,0,0,11,0,0,14.2,11,7,7,3,4,17,.208,2019,Chris Devenski
July,3.86,0,0,0,0,11,0,0,11.2,9,5,5,1,7,13,.209,2019,Chris Devenski
August,9.00,0,3,0,1,12,1,0,12.0,19,14,12,4,2,13,.352,2019,Chris Devenski
Last 7 Days,0.00,0,0,0,0,2,0,0,3.0,1,0,0,0,1,1,.100,2019,Chris Devenski
Last 15 Days,0.00,0,0,0,0,4,0,0,5.0,1,0,0,0,1,3,.063,2019,Chris Devenski
Last 30 Days,1.80,0,0,0,0,8,0,0,10.0,6,2,2,1,2,7,.167,2019,Chris Devenski
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2019,Chris Devenski
vs. BAL,4.50,0,0,0,0,2,0,0,2.0,3,1,1,0,0,5,.333,2019,Chris Devenski
